"Crop","2078/079 Area (ha)","2078/079 Production (mt)","2079/080 Area (ha)","2079/080 Production (mt)","2080/081 Area (ha)","2080/081 Production (mt)"
"Fruits","121,332","1,495,470","124,836","1,521,000","132,484","1,805,701"
"Vegetables","285,686","4,543,747","307,935","4,356,077","311,885","4,540,199"
"Tea","27,000","24,500","20,237","23,337","20,950","26,833,795"
"Coffee","3,346","355","3,549","324.4","4,305","507"
"Banana","12,570","265,965","13,438","264,991","5,363","64,560"
"Cardamom","19,575","8,494","19,945","6,847","16,362","6,508"
"Walnut","22,449","28,573","22,933","30,133","22,330","26,330"
"Garlic","9,623","49,663","9,348","43,527","9,456","47,349"
"Ginger","10,673","171,087","10,222","180,242","8,708","68,840"
"Silk Cocoon","15.5","4.9","16.4","3.5","-","-"
"Honey (Beehive)","146,195","5,966","148,090","4,306","-","-"
"Mushroom","-","14,300","-","15,713","-","-"
