"Office/Section","Phone Number","Email/Website"
"Development Support Coordination Section","01-4211910",""
"Human Resource, Gender, Social Development & Coordination","01-4211949","mailto:hrd.gender@moald.gov.np"
"Statistics and Evaluation Section","01-4211910","mailto:statistics@moald.gov.np"
"Monitoring and Evaluation Section","01-4211949","mailto:me_moad@yahoo.com"
"D. Agriculture & Livestock Market Promotion Division","01-4211950",""
"Agricultural Credit and Management Section","01-4211960",""
"Seed Quality Control and Registration Section","01-4211960",""
"Agriculture Marketing Information Section","01-4211960",""
"Agriculture Products Quality Control and Measurement Section","01-4211960",""
"E. Food Security and Nutrition Development Division","01-4211956",""
"Food Security and Nutrition Work Management Coordination","01-4211956",""
"Animal Quarantine and Animal Product Import Management","01-4211908",""
"Fish Development Section","01-4211960","mailto:moaldfisheries@gmail.com"
"Animal Health Development Section","01-4211960","mailto:ahd@moald.gov.np"
"Animal Disease Investigation Laboratory","01-4211908",""
"Animal Quarantine Laboratory","01-4211908",""
"Animal Medicine Management and Regulation Section","01-4211908",""
