"Office/Section","Phone Number","Email/Website"
"Minister","01-4211919","http://www.moald.gov.np"
"Honourable Minister’s Private Secretary","01-4211956",""
"Grievance Management Section","-","https://twitter.com/hello_MOALD"
"Secretary (Agriculture)","01-4211966","mailto:secretary.agri@moald.gov.np"
"Secretary (Livestock)","01-4211906","mailto:secretary@moald.gov.np"
"A. Administration Division","",""
"General Administration (Personnel Admin. Section)","01-4211951","mailto:info@moald.gov.np"
"Internal Administration Office","01-4211916","mailto:info@moald.gov.np"
"Agriculture Personnel Administration Section","01-4211950","mailto:agriadmin@moald.gov.np"
"Finance Administration Section","01-4211907","mailto:account@moald.gov.np"
"B. Planning and Development Aid Division","",""
"Agriculture Information Section","01-4211926","mailto:aims.moald@gmail.com"
"Budget and Program Section","01-4211930","mailto:budget.moald@gmail.com"
"Advertising Section","01-4211915","mailto:ads@moald.gov.np"
"Food Safety and Quality Control Office","01-4211925","mailto:fooddivision01@gmail.com"
"C. Agriculture Development Section","",""
"Environment and Biodiversity Section","01-4211913",""
"Animal Health Section","01-4211912",""
"B. Programme and Budget Section","01-4211909","mailto:budget.moald@gmail.com"
