"Office/Section*","Phone Number","Email/Website"
"Director General","01-5521336","http://www.doanepal.gov.np"
"Deputy Director General (Planning, Estimate, and Management)","01-5521937",""
"Administration Division, Under Secretary","01-5520977","mailto:doa.agri2014@gmail.com"
"Administration Section","01-5520977","mailto:doa.agri2014@gmail.com"
"Account Section","01-5522193","mailto:doa.ac2070@gmail.com"
"Store Section","",""
"Planning and Programme Estimate Section","01-5522193","mailto:planning235@gmail.com"
"Agri Inputs & Subsidy Program Management","",""
"Rice Development Section","",""
"Wheat and Coarse Grain Development Section","",""
"Horticulture Development Section","",""
"Vegetables Development Section","",""
"Crop Protection Division (Plant Protection)","01-5520977",""
"Seed Extension Section","","mailto:prabidhbistar2075@gmail.com"
"Oilseed Development Section","",""
"Pulses Development Section","","mailto:doaproduction18@gmail.com"
"Crop Management Centre (PMAMP Project etc.)","","mailto:cpmu.doa@gmail.com"
