"Section","Phone No.","Email/Website"
"Directorate","01-4262153","http://www.dls.gov.np"
"Animal Quarantine and Disease Control Division (Sub-Division)","01-4262107","mailto:dls.adicd@gmail.com"
"Animal Identification, Registration, and Management Section","01-4215164",""
"Veterinary Epidemiology Section","01-4262154","mailto:vetepi@net.gov.np"
"Veterinary Public Health Section","01-4262154",""
"Animal Quarantine Management Section (Sub-Division)","01-4262110","mailto:caqoktmc@gmail.com"
"Veterinary Laboratory Section","01-4215163",""
"Animal Products and Non-Product Regulation Section","01-4242542",""
"Animal Health and Animal Product Monitoring Section","01-4215173","mailto:agcrandeadls@gmail.com"
"Animal Quarantine Management and Financial Planning Section","01-4262151",""
"Animal Service Management Development Section","01-4262163",""
"Planning, Monitoring and Evaluation Section","01-4262154","mailto:dlsplanningmonitoring@gmail.com"
"Administration Section","01-4262153",""
