"Office/Center Name","Phone","Email/Website"
"Agriculture Information and Training Center (AITC), Hariharbhawan","01-5522195, 5522705, 5521247, 5529217, 5529809","http://www.aitc.gov.np"
"Seed Quality Control Center (SQCC), Hariharbhawan","01-5520224","http://www.sqcc.gov.np"
"Nepal Food Corporation (NFC) Procurement and Sales Management Center (PQQMC), Hariharbhawan","01-5521247, 9841252411, 9841634197, 9851106979","mailto:chief@nfcpnepal.gov.np"
"Quarantine Office, Kakadbhitta","023-562186","mailto:kakarbhitta@npponepal.gov.np"
"Quarantine Office, Biratnagar","021-470081","mailto:biratnagar@npponepal.gov.np"
"Quarantine Office, Birgunj","051-525271","mailto:birgunj@npponepal.gov.np"
"Quarantine Office, Bhairahawa","071-520871","mailto:bhairahawa@npponepal.gov.np"
"Quarantine Office, Nepalgunj","081-521056","mailto:nepalgunj@npponepal.gov.np"
"Quarantine Office, Gaddachauki","099-520196","mailto:gaddachauki@npponepal.gov.np"
"Quarantine Office, Bhantabari","025-587035","mailto:bhantabari@npponepal.gov.np"
"Quarantine Office, Malangawa","046-521003","mailto:malangawa@npponepal.gov.np"
"Quarantine Office, Jaleshwor","044-520323","mailto:jaleshwor@npponepal.gov.np"
"Quarantine Office, Tatopani","011-692136, 011-692137","mailto:tatopani@npponepal.gov.np"
"Quarantine Office, Timure, Rasuwa","010-540170, 9841452137","mailto:timure@npponepal.gov.np"
"Quarantine Office, Tribhuvan Int’l Airport, Kathmandu","01-4113092","mailto:tiaktm@npponepal.gov.np"
"Quarantine Office, Krishnanagar, Kapilvastu","076-520568, 9851705684","mailto:krishnanagar@npponepal.gov.np"
"Quarantine Office, Jhula Ghat, Baitadi","095-421053","mailto:jhulaghat@npponepal.gov.np"
"Quarantine Office, Lomanthang, Mustang","069-540016, 9847607219","mailto:lomanthang@npponepal.gov.np"
