S.N.,Food Import Quality Certification Office,Phone No.,Email
1,"Kakadvitta, Jhapa",023-563968,fqlokkvtanepal@gmail.com
2,"Rani, Biratnagar",021-470565,fieqcobrt@gmail.com
3,"Jaleshwar, Mahottari","041-523105, 9851050491",ftqcdoljaleshwar@gmail.com
4,"Tatopani, Sindhupalchok",011-412956,fieqcobrj@gmail.com
5,"Bhairahawa, Rupandehi/Belahiya","071-577009, 9857033774",fqltatopani@gmail.com
6,"Tripureshwor, Kathmandu",01-4262367,fieqcoraswa@gmail.com
7,"Belahiya, Rupandehi",071-520048,fieqc.belahiya@gmail.com
8,"Birgunj, Parsa",051-524430,fieqr.bn@gmail.com
9,"Nepalgunj, Banke",081-525905,fieqcconpjbank@gmail.com
10,"Dhangadhi, Kailali",091-521190,fieqdhi2075@gmail.com
11,"Biratnagar, Morang",021-470565,fqlmr@gmail.com
12,"TIA Airport, Kathmandu",01-4480640,fieqco.tia@gmail.com
