"S.N.","Description","2078/079","2079/080","2080/081"
"1","Cow/Ox","7,43,37,977","4,57,03,729","5,17,56,355"
"2","Buffalo","5,23,23,391","3,07,90,672","3,30,70,391"
"3","Sheep","73,72,05","50,96,849","65,33,222"
"4","Goat","1,23,90,033","1,45,12,744","1,52,60,444"
"5","Pig","1,50,65,649","1,35,94,307","99,49,771"
"6","Dog","66,60,371","65,20,530","54,19,65,67"
"7","Duck","50,85,454","9,35,499","33,46,656"
"8","Dairy Cow","1,22,35,601","1,01,95,167","1,06,76,969"
"9","Dairy Buffalo","96,66,726","68,57,327","92,43,333"
"10","Laying Hen","1,03,78,942","1,29,78,054","1,38,49,222"
"11","Laying Duck","30,24,983","17,69,866","44,49,967"
"12","Yak/Chauri","62,693","52,911","51,913"
"13","Horse/Mule","54,537","53,327","33,540"
