S.N.,Food Technology and Quality Control Division Office,Phone No.,Email
1,"Bhadrapur, Jhapa",023-520005,ftqcdojhapa@gmail.com
2,"Inaruwa, Sunsari",025-474903,ftqcdosunsari@gmail.com
3,"Dhankuta, Dhankuta",026-522034,ftcqcdodhankuta@gmail.com
4,"Triyuga, Udayapur",035-540026,ftqcdoigaighat035@gmail.com
5,"Rajbiraj, Saptari",031-522176,saptariftqcdo@gmail.com
6,"Jaleshwar, Mahottari",041-523105,ftqcdojaleshwar@gmail.com
7,"Malangwa, Sarlahi",046-520154,ftqcdo5malangwa@gmail.com
8,"Parsa, Birgunj",051-524292,ftqcdoparsa@gmail.com
9,"Bharatpur, Chitwan",056-523091,chitwanftqcdo@gmail.com
10,"Kamalamai, Sindhuli","047-521752, 9841296657",ftqcdo.sindhuli@gmail.com
11,"Dhulikhel, Kavre",011-490090,ftqcdodhulikhelkavre@gmail.com
12,"Banepa, Kavre",011-661490,ftqcdoktm@gmail.com
13,"Bidur, Nuwakot",010-560106,ftqcdojbn@gmail.com
14,"Damauli, Tanahu",065-560681,ftqcdodamauli@gmail.com
15,"Baglung, Baglung",068-520025,ftqcdobaglung@gmail.com
16,Kathmandu,01-4256225,ftqcdokv@gmail.com
17,"Palpa, Tansen",075-520567,ftqcdopalpa@gmail.com
18,"Dang, Ghorahi",082-561016,ftqcdodang@gmail.com
19,"Jumla, Chandannath",087-520152,ftqcdojumla@gmail.com
20,"Doti, Silgadhi",094-440005,ftqcdvidoti@gmail.com
21,"Dhading, Nilkantha",010-520044,ftqcdo0906ddl@gmail.com
