S.N.,Office,Phone No.,Email
1,"Executive Director, Administrative Service Division Office, National Agricultural Research Council","01-5525896, 5525897",ednarc@ntc.net.np
2,"Director, Planning and Coordination Division, Planning Coordination Division Office","01-5525896, 5525897","pcdnarc@gmail.com, pdnarc@gmail.com, me.div.narc@gmail.com, tsdnarc@gmail.com"
3,"Director, Crop and Horticultural Research Division","01-5525896, 5525897",chdnarc@gmail.com
4,"Director, Livestock and Fisheries Research Division","01-5525896, 5525897",dirlivnfish@gmail.com
5,"Director, Administration, Administrative Service Division","01-5525896, 5525897","narc34dm@gmail.com, mail4narc@gmail.com, sampati.narchq@gmail.com"
6,"National Agricultural Research Institute, Khumaltar, Lalitpur",01-5520542,nari_narc@yahoo.com
7,Agronomy Division,01-5520056,agronomydivision@gmail.com
8,National Horticulture Research Centre,01-5520564,balirobigyan@gmail.com
9,Outreach Division,01-5520059,outreachdivision@yahoo.com
10,Entomology Division,01-5520557,ento.narc@gmail.com
11,Soil Science Division,01-5520763,matobyigan@gmail.com
12,National Food and Feed Research Centre,"01-5520973, 5520983","abdnarcc@gmail.com, npbgc.narc@gmail.com"
13,Agricultural Engineering Division,01-5520057,"aed.narc@gmail.com, aed@narc.gov.np"
14,Horticultural Research Division,01-5520902,hrtdvision@gmail.com
15,Seed Technology Research Division,01-5520530,"seedtechnarc@gmail.com, seedtech@narc.gov.np"
16,Vegetable Research Division,01-5520709,ccdnar@gmail.com
17,Biotechnology Research Division,"01-5520985, 5520995",narc.biotechdiv@gmail.com
18,Environmental Research Division,01-5520702,env.narc@gmail.com
19,"Central Office, NARC",01-5520702,narc@narc.gov.np
20,"Planning Division, NARC",01-5520703,cpdd@narc.gov.np
21,"Research Directorate, NARC",01-5520704,aprod.narc@gmail.com
22,Gene Bank,01-5520705,narc.genebank@gmail.com
23,National Soil Science Research Division,01-6821497,nasri.khumaltar2016@gmail.com
24,"Quality Control Office, NARC",01-5520706,anmndar@gmail.com
25,Barley Research Division,01-5520707,nabgrc.narc@gmail.com
26,Veterinary Research Division,01-5520708,vetresearchdivision@gmail.com
27,"Fishery Research Centre, Godavari","01-5551673, 5471747",fisherygodawarinarc@gmail.com
28,"Hill Crop Research Programme, Khumaltar",01-5521311,nrpr.khumaltar@gmail.com
29,Maize Research Programme,053-410701,mnrp2012@gmail.com
30,"Horticultural Research Programme, Kabre",048-420196,hrcpkabre@gmail.com
31,"Horticultural Research Programme, Rampur",056-530297,ncrp@narc.gov.np
32,"Agricultural Research Programme, Parwanipur",051-520104,narpparwanipur@gmail.com
33,Participatory Rural Development Programme,01-5520180,prfd25@gmail.com
34,"Pasture and Fodder Research Centre, Khumaltar",01-5520707,"arspasture@live.com, prfd@narc.gov.np"
35,"Fish Research Centre, Trishuli, Nuwakot",010-560026,troutfish.trishuli@gmail.com
36,"Fish Research Centre, Rasuwa",010-560027,troutfish.rasuwa@gmail.com
37,"Regional Agricultural Research Station, Lumle",061-530045,rarslumle@gmail.com
38,"Regional Agricultural Research Station, Pokhara",061-530096,frcpokhara@gmail.com
39,"Regional Agricultural Research Station, Bandipur",065-520893,ngrpbandipur@gmail.com
40,"Regional Agricultural Research Station, Nepalgunj",081-520882,arsmaleaptan@gmail.com
