"Crop","2078/079 Area (ha)","2078/079 Production (mt)","2079/080 Area (ha)","2079/080 Production (mt)","2080/081 Area (ha)","2080/081 Production (mt)"
"Lentil","198,454","252,263","173,071","200,527","145,664","152,336"
"Gram","10,193","11,996","10,706","11,950","5,199","5,450"
"Arhar","15,121","15,377","11,454","12,370","12,449","11,683"
"Mungbean","28,633","26,945","22,393","22,895","25,896","23,907"
"Grass Pea","10,107","9,010","5,405","5,446","4,056","4,556"
"Horse Gram","12,246","9,323","6,091","6,091","4,143","5,225"
"Soybean","24,954","35,936","25,849","35,697","22,985","28,470"
"Himalayan Bean","-","6,566","-","6,566","8,155","8,397"
"Others","33,832","40,650","31,542","36,877","30,333","29,334"
"Total","333,540","408,066","299,911","338,419","258,280","269,358"
